UniprotKB,r,theta,DC,CC,BC,EC,idr,nucleus,cytoplasm,endomembrane,multi
Q96G74,18.28556932,3.979751093,19,2.12E-05,7828.671009,0.01342475,0,0,0,0,1
O15479,17.74366308,5.624157459,32,2.16E-05,5122.258149,0.05243809,0,0,1,0,0
O43251,16.92813127,1.265410639,57,2.27E-05,41252.89475,0.03884414,0,1,0,0,0
O75044,18.19173272,0.252961561,21,2.23E-05,5636.890205,0.0271669,0,0,1,0,0
O75626,18.24440335,4.177874256,20,2.10E-05,8626.432283,0.01523603,0,1,0,0,0
O94887,17.93897945,6.274580124,27,2.23E-05,9807.285037,0.02260735,0,0,1,0,0
O95391,18.32748995,1.395679385,18,2.13E-05,3772.684629,0.01848662,1,1,0,0,0
P02686,18.28592006,4.297669149,19,2.06E-05,8781.125307,0.00890617,1,0,0,1,0
P12755,18.03183002,4.91395868,25,2.09E-05,2510.382148,0.01790287,0,1,0,0,0
P14678,16.20555258,6.24353688,84,2.28E-05,47922.10638,0.10053091,1,1,0,0,0
P19474,17.05775104,4.653010881,52,2.29E-05,28249.86944,0.05059386,0,1,0,0,0
P23246,16.0903892,5.435626784,89,2.42E-05,61500.47155,0.13670741,0,1,0,0,0
P29597,16.69824453,5.143245288,65,2.25E-05,37976.98144,0.05049393,0,0,1,0,0
P54105,17.39057556,6.273206603,41,2.19E-05,8854.764861,0.03779893,0,0,0,0,1
P62304,15.30415375,6.256220573,136,2.40E-05,83926.73633,0.13430122,0,0,0,0,0
P62314,16.75287055,6.247793267,63,2.22E-05,9206.007446,0.07025734,0,0,0,0,0
P62318,16.62891873,6.245988876,68,2.30E-05,10911.38136,0.11693453,1,0,0,0,1
P63162,15.84111039,6.256798153,101,2.22E-05,31108.9433,0.06351315,0,1,0,0,0
P98179,17.61329819,5.523891304,35,2.28E-05,8878.113633,0.07110002,0,1,0,0,0
Q53EL6,17.61397818,0.390614553,35,2.19E-05,10727.71842,0.0336059,0,1,0,0,0
Q5HYJ3,18.53637504,2.030698044,13,2.13E-05,16303.10656,0.01130992,0,1,0,0,0
Q5TAQ9,17.22086199,5.103994548,47,2.18E-05,34452.79158,0.04187673,0,0,0,0,1
Q6NXT2,18.23412247,1.068060623,20,2.05E-05,3774.711172,0.01334758,0,1,0,0,0
