cooperative	common	V1	V2	degree_common	degree_V1	degree_V2	score_competitive	score_cooperative	paralog	quantile	thetad_V1_V2
0	O15432	O60894	O60895	8	2	2	0.484	0.516	yes	1	2.519706787
0	Q96GW9	P31994	Q8N3J3	10	8	6	0.484	0.516	no	1	4.324198245
0	P01213	P31025	P01210	5	9	8	0.484	0.516	no	1	2.608022806
0	Q9UF33	P52798	P04070	4	5	10	0.484	0.516	no	1	1.829412563
0	Q8TF32	P32942	P17643	5	7	2	0.484	0.516	no	1	3.404396084
0	Q9BSW2	Q8NEM0	Q5W041	8	10	2	0.484	0.516	no	1	2.634567095
0	P50747	Q7Z402	Q86XM0	9	5	1	0.486	0.514	no	1	2.246351789
0	P48378	Q8HWS3	Q9UKT7	9	9	8	0.486	0.514	no	1	3.974333892
0	Q9P0Z9	O75362	Q96EB1	7	9	10	0.486	0.514	no	1	2.92912566
0	Q9UHY8	Q6ZMV9	O95661	8	6	6	0.486	0.514	no	1	3.516679172
0	Q6ZPD9	O95428	Q9BXY4	7	8	4	0.486	0.514	no	1	1.093383552
0	P00742	P10646	P12259	7	4	8	0.486	0.514	no	1	1.53482061
0	Q6ZW76	Q86SG6	Q9HAH1	7	9	9	0.486	0.514	no	1	1.646264566
0	Q12829	Q96S21	Q5H9S7	9	7	5	0.486	0.514	no	1	0.495903337
0	Q9BR01	P0DMM9	Q8TAM6	9	6	1	0.486	0.514	no	1	2.617979094
0	Q9BR01	P0DMN0	Q8TAM6	9	6	1	0.486	0.514	no	1	2.618307165
0	Q9UMR3	Q86YI8	Q9BQT8	7	3	3	0.486	0.514	no	1	3.00654073
0	O43525	Q9NR82	O43526	5	10	7	0.488	0.512	yes	1	1.510696125
0	Q14721	O95259	Q8TAE7	9	5	1	0.488	0.512	no	1	1.8299458
0	Q5T0L3	A2RUC4	P50747	9	8	9	0.49	0.51	no	1	3.841707173
0	O14896	P18428	Q6ZN30	4	5	2	0.49	0.51	no	1	3.067601039
0	P27918	O76036	Q6ZPD9	10	5	7	0.49	0.51	no	1	2.758055634
0	P30874	P35346	P32745	7	7	3	0.49	0.51	yes	1	3.510554597
0	Q15669	P52566	Q99819	10	9	5	0.492	0.508	yes	1	2.372107583
0	Q6ZPD9	O95428	P27918	7	8	10	0.492	0.508	no	1	2.550224023
0	Q6ZPD9	O95428	Q9UBN1	7	8	8	0.492	0.508	no	1	1.815794103
0	Q00169	Q92859	O95977	9	8	4	0.492	0.508	no	1	0.498679569
0	Q86UD0	Q00G26	P10645	6	6	3	0.492	0.508	no	1	2.530182478
0	P78508	Q6PL24	Q9NPI9	10	7	1	0.492	0.508	no	1	1.884411666
0	P16219	Q9BRL7	Q6ZMV9	8	7	6	0.492	0.508	no	1	3.454418526
0	Q9H4Z3	Q9BQ61	P52945	10	9	3	0.492	0.508	no	1	2.72163706
0	Q9BW62	P26885	Q9H079	8	10	6	0.492	0.508	no	1	1.79553907
0	P0DMM9	Q15777	P50225	6	8	8	0.494	0.506	no	1	3.207197652
0	Q92874	Q9NTI7	Q86YI8	10	4	3	0.494	0.506	no	1	2.789136341
0	Q8N961	Q53T59	Q9BV47	9	7	5	0.494	0.506	no	1	5.155380953
0	P13725	Q49AR2	Q99650	9	5	8	0.494	0.506	no	1	1.534356204
0	P32942	Q8TF32	P20701	7	5	10	0.494	0.506	no	1	1.476029833
0	P32942	Q13349	Q8TF32	7	3	5	0.494	0.506	no	1	1.474186094
0	P20366	Q03403	P21452	7	2	2	0.494	0.506	no	1	1.17635452
